With default hyperparams
svm_y8columns_weights,svm_y8columns_tokens,svm_y6columns_weights,svm_y6columns_tokens,svm_y2columns_weights,svm_y2columns_tokens,log_y8columns_weights,log_y8columns_tokens,log_y6columns_weights,log_y6columns_tokens,log_y2columns_weights,log_y2columns_tokens,mnb_y8columns_weights,mnb_y8columns_tokens,mnb_y6columns_weights,mnb_y6columns_tokens,mnb_y2columns_weights,mnb_y2columns_tokens
0.25628165736427555,'figure_align,0.25628166895475135,pointsize ',0.4208376009982142,[ Map.OneOrMore,0.3454797530026525,~,0.3310864964893137,alpha =,0.6896392430560468,include,-8.379602778452394,String,-8.379602778452394,String,-7.493914210827582,") ,"
0.25628165736427555,: 'htbp,0.25628166895475135,pointsize,0.4208376009982142,Map.OneOrMore,0.3450191090311551,: true,0.3310864964893137,alpha,0.6890462239419652,here,-8.379602778452394,is,-8.379602778452394,is,-7.56913763206517,if (
0.25628165736427555,'figure_align ',0.25628166895475135,: '10pt,0.4208376009982142,Map.OneOrMore ],0.3421322607783071,struct seq_file,0.3310746915287385,= 0.01,0.6887315198017631,but it,-8.379602778452394,to,-8.379602778452394,to,-7.584885989033309,code
0.25628165736427555,'htbp ',0.25628166895475135,'10pt ',0.41966241114421154,] $,0.3421322607783071,seq_file *,0.32427052860544714,seq_file *,0.6802104415489092,Note :,-8.436761192292341,==,-8.436761192292341,==,-7.584885989033309,all
0.25628165736427555,'htbp,0.25628166895475135,'10pt,0.41738952376611316,= ``,0.34213136698301694,seq_file,0.32427052860544714,struct seq_file,0.6758792384913168,todo check,-8.436761192292341,] .min,-8.436761192292341,] .min,-7.60088633037975,name
0.25628158165221115,pointsize ',0.2562815350467355,'htbp,0.41676163796440313,example,0.3381314822134295,( logging.DEBUG,0.3242701946963651,seq_file,0.6735075846265733,yapf :,-8.436761192292341,.min (,-8.436761192292341,.min (,-7.60088633037975,?
0.25628158165221115,'10pt ',0.2562815350467355,'figure_align,0.4095390000104185,your,0.3381314822134295,logging.DEBUG,0.32414197682556134,logging.DEBUG,0.6735075846265733,yapf,-8.436761192292341,.min,-8.436761192292341,.min,-7.617146851251531,&
0.25628158165221115,'10pt,0.2562815350467355,'htbp ',0.4085602321292397,IF,0.3381314822134295,set_logging_level,0.32414197682556134,( logging.DEBUG,0.6733040566523293,?,-8.436761192292341,Point,-8.436761192292341,Point,-7.617146851251531,"'' ,"
0.25628158165221115,pointsize,0.2562815350467355,: 'htbp,0.40802958744352985,FIXME ?,0.3381314822134295,logging.DEBUG ),0.32414197682556134,set_logging_level,0.6723468269261864,all the,-8.436761192292341,.max,-8.436761192292341,.max,-7.6336761532027415,1
0.25628158165221115,: '10pt,0.2562815350467355,'figure_align ',0.4067869192122006,Animator,0.3381314822134295,set_logging_level (,0.32414197682556134,logging.DEBUG ),0.6608260426919665,use,-8.436761192292341,] .max,-8.436761192292341,] .max,-7.6336761532027415,; }
0.2524702401653548,``,0.25247022571865235,``,0.4067869192122006,by Animator,0.33255598760152716,array-,0.32414197682556134,set_logging_level (,0.6571417178969214,the data,-8.436761192292341,] ),-8.436761192292341,] ),-7.650483271519122,The
0.24778933009376217,@ @,0.24778931728992823,@ @,0.40372589990390545,9,0.33255598760152716,array- >,0.3228410055230932,array- >,0.6569939811639456,Forward,-8.436761192292341,.max (,-8.436761192292341,.max (,-7.667577704878423,we
0.24440703766902278,0.01,0.24440700211288308,0.01,0.40372589990390545,is EXIT__AUTO_MIN,0.33076492474153046,'figure_align ',0.3228410055230932,array-,0.6569934363160184,Forward references,-8.436761192292341,1,-8.436761192292341,1,-7.684969447590292,i
0.23817515160865319,{,0.2381751093967837,{,0.40372589990390545,9 is,0.33076492474153046,: 'htbp,0.32264706366510854,'10pt ',0.6507151970915623,from the,-8.497385814108776,return,-8.497385814108776,return,-7.702669024689692,> <
0.23349040104065402,import,0.23349021578568607,import,0.40372589990390545,EXIT__AUTO_MIN,0.33076492474153046,'htbp ',0.32264706366510854,: '10pt,0.649276550565056,be,-8.497385814108776,#,-8.497385814108776,#,-7.739036668860567,when
0.22101410678910516,{ },0.22101401922985747,{ },0.39820977308167493,:,0.33076492474153046,'figure_align,0.32264706366510854,'10pt,0.6482806783878963,Configures,-8.497385814108776,array-,-8.497385814108776,array-,-7.739036668860567,$
0.21849246234297598,DROP,0.21849236846326928,DROP,0.39439511440562447,yapf :,0.33076492474153046,'htbp,0.32264706366510854,pointsize ',0.6482806783878963,Configures the,-8.497385814108776,array- >,-8.497385814108776,array- >,-7.739036668860567,will
0.2153917419807615,.map_update_batch,0.2153917711846895,"map_check_no_btf ,",0.39439511440562447,yapf,0.3307649247415304,: '10pt,0.32264706366510854,pointsize,0.6446008259545077,Server,-8.561924335246347,j,-8.561924335246347,j,-7.739036668860567,author
0.2153917419807615,generic_map_update_batch,0.2153917711846895,.map_check_btf =,0.39234296125839385,http,0.3307649247415304,pointsize ',0.32264706366510815,'htbp,0.6436563311575811,40,-8.561924335246347,b,-8.561924335246347,b,-7.7577288018727195,M
0.2153917419807615,"generic_map_update_batch ,",0.2153917711846895,map_check_no_btf,0.38925309688764,Called by,0.3307649247415304,'10pt,0.32264706366510815,'figure_align ',0.6431671461007612,KEYS,-8.561924335246347,p,-8.561924335246347,p,-7.776776996843415,@ author
0.2153917419807615,= generic_map_update_batch,0.2153917711846895,= map_check_no_btf,0.38429672503159157,chrome/browser/resource_coordinator/tab_ranker/README.md,0.3307649247415304,'10pt ',0.32264706366510815,'figure_align,0.6431671461007612,! 40,-8.561924335246347,= >,-8.561924335246347,= >,-7.776776996843415,"] ,"
0.2153917419807615,.map_update_batch =,0.2153917711846895,.map_check_btf,0.38429672503159157,in chrome/browser/resource_coordinator/tab_ranker/README.md,0.3307649247415304,pointsize,0.32264706366510815,: 'htbp,0.6431671461007612,TABLE `,-8.561924335246347,attr- >,-8.561924335246347,attr- >,-7.796195082700516,' )
0.21539172275139104,= prog_fd_array_sys_lookup_elem,0.21539175522509382,generic_map_update_batch,0.38429672503159157,Details,0.3227763210152765,],0.32264706366510815,'htbp ',0.6431671461007612,40 ALTER,-8.561924335246347,attr-,-8.561924335246347,attr-,-7.796195082700516,an
0.21539172275139104,.map_fd_sys_lookup_elem =,0.21539175522509382,.map_update_batch =,0.38429672503159157,Details in,0.3155679116127701,"' ,",0.3157088842399907,{ },0.6403605950255232,4c,-8.561924335246347,] ;,-8.561924335246347,] ;,-7.8159977099966955,Copyright
0.21539172275139104,prog_fd_array_sys_lookup_elem,0.21539175522509382,.map_update_batch,0.38429671806128,Added,0.308634371741727,map_flags,0.3053410795253438,'' ;,0.6403605950255232,Comment 4c,-8.561924335246347,`,-8.561924335246347,`,-7.856819704516951,http
0.21539172275139104,.map_fd_sys_lookup_elem,0.21539175522509382,"generic_map_update_batch ,",0.38429671806128,Added in,0.3067913047312771,` ),0.3014311446116743,map_flags,0.6400093545958914,SQL Server,-8.561924335246347,) <,-8.561924335246347,) <,-7.856819704516951,) ]
0.21539172275139104,"prog_fd_array_sys_lookup_elem ,",0.21539175522509382,= generic_map_update_batch,0.38429671806128,4.0.0,0.30678833939450945,( `,0.29862383680816207,` ),0.6331895576464004,NOTE,-8.561924335246347,const,-8.561924335246347,const,-7.856819704516951,License
0.21539171126085307,= map_check_no_btf,0.21539172808592116,"prog_fd_array_sys_lookup_elem ,",0.38429671806128,in 4.0.0,0.30670034811180924,'' ;,0.2986207822345176,( `,0.632205784177154,Ignored 1a,-8.561924335246347,void,-8.561924335246347,void,-7.8778731137147835,http :
0.21539171126085307,.map_check_btf,0.21539172808592116,.map_fd_sys_lookup_elem,0.38070255294272265,page 29,0.3042747158082195,{ },0.2894063920447301,[ Map.Attribute,0.632205784177154,1a,-8.630917206733299,: :cout,-8.630917206733299,: :cout,-7.8778731137147835,file
0.21539171126085307,.map_check_btf =,0.21539172808592116,= prog_fd_array_sys_lookup_elem,0.38070255294272265,29 example,0.296469807034345,"true ,",0.2894063920447301,Map.Attribute,0.6318220826004889,eslint-enable,-8.630917206733299,p1,-8.630917206733299,p1,-7.899379318935747,C
0.21539171126085307,map_check_no_btf,0.21539172808592116,.map_fd_sys_lookup_elem =,0.38070255294272265,29,0.2929437702366251,m ),0.2894063920447301,Map.Attribute ],0.6318220826004889,PUT api/values/5,-8.630917206733299,printf (,-8.630917206733299,printf (,-7.921358225654522,< ``
0.21539171126085307,"map_check_no_btf ,",0.21539172808592116,prog_fd_array_sys_lookup_elem,0.38040639055275066,todo check,0.29217888295052563,= 1,0.28848546247417695,],0.6318220826004889,api/values/5,-8.630917206733299,printf,-8.630917206733299,printf,-7.921358225654522,( M
0.21539170986696793,= prog_fd_array_get_ptr,0.21539171056812995,.map_release =,0.3774181526187399,NOT,0.2894032700786204,Map.Attribute ],0.2865741747069068,= 1,0.6318220826004889,eslint-disable,-8.630917206733299,map,-8.630917206733299,map,-7.9438310815065805,only
0.21539170986696793,"prog_fd_array_get_ptr ,",0.21539171056812995,.map_release,0.3746843747700373,under,0.2894032700786204,[ Map.Attribute,0.2833525011423801,"true ,",0.6318220826004889,eslint-enable no-param-reassign,-8.630917206733299,} ),-8.630917206733299,} ),-7.9438310815065805,X
0.21539170986696793,prog_fd_array_get_ptr,0.21539171056812995,= perf_event_fd_array_release,0.3631416612110545,famous,0.2894032700786204,Map.Attribute,0.2771596782872696,elem,0.6318220826004889,thx,-8.630917206733299,struct,-8.630917206733299,struct,-7.9438310815065805,n't
With GridCV
